country,country_code,series,seriescode,measure,period,D1,D2,D3,data,footnoteref
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2020FEB ,,,,              2326,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2020JAN ,,,,              2419,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2020MAR ,,,,              3285,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2020JUL ,,,,              2768,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2020AUG ,,,,              3124,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2020SEP ,,,,              3308,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2020OCT ,,,,              3696,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2020NOV ,,,,              3106,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2019FEB ,,,,              3174,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2019JAN ,,,,              3029,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2019APR ,,,,              3035,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2019MAY ,,,,              2749,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2019MAR ,,,,              2936,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2019JUN ,,,,              3152,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2019JUL ,,,,              2665,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2019AUG ,,,,              3023,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2019OCT ,,,,              3010,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2019NOV ,,,,              2760,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2019DEC ,,,,              2772,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2019YEAR,,,,              2995,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2019SEP ,,,,              3023,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2018DEC ,,,,              3377,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2018YEAR,,,,              2995,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2018FEB ,,,,              2861,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2018JAN ,,,,              3023,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2018MAR ,,,,              2758,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2018APR ,,,,              2594,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2018MAY ,,,,              2889,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2018NOV ,,,,              3312,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2018SEP ,,,,              2450,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2018OCT ,,,,              3460,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2018JUN ,,,,              3009,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2018AUG ,,,,              3170,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2018JUL ,,,,              3042,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2017JAN ,,,,              2629,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2017APR ,,,,              2261,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2017MAR ,,,,              2746,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2017FEB ,,,,              2711,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2017AUG ,,,,              2775,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2017SEP ,,,,              2959,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2017JUN ,,,,              2609,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2017JUL ,,,,              2637,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2017MAY ,,,,              2881,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2017OCT ,,,,              2479,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2017YEAR,,,,              2761,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2017NOV ,,,,              3333,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2017DEC ,,,,              3114,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2016NOV ,,,,              2661,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2016YEAR,,,,              2592,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2016DEC ,,,,              2707,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2016JAN ,,,,              2494,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2016FEB ,,,,              2616,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2016APR ,,,,              2225,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2016MAR ,,,,              2900,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2016OCT ,,,,              2649,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2016SEP ,,,,              2720,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2016AUG ,,,,              2413,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2016JUL ,,,,              2406,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2016JUN ,,,,              2586,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2016MAY ,,,,              2733,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2015YEAR,,,,              2489,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2015DEC ,,,,              2631,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2015JAN ,,,,              2454,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2015FEB ,,,,              2396,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2015MAY ,,,,              2602,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2015JUN ,,,,              2634,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2015APR ,,,,              2273,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2015MAR ,,,,              2352,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2015JUL ,,,,              2414,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2015SEP ,,,,              2832,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2015AUG ,,,,              2279,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2015NOV ,,,,              2220,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2015OCT ,,,,              2780,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2014DEC ,,,,              2342,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2014YEAR,,,,              2366,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2014JUN ,,,,              2232,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2014JUL ,,,,              2132,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2014AUG ,,,,              2064,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2014NOV ,,,,              2653,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2014OCT ,,,,              2922,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2014SEP ,,,,              2553,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2013YEAR,,,,              2076,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2012YEAR,,,,              2314,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2011YEAR,,,,              2335,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2010YEAR,,,,              1968,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2009YEAR,,,,              1796,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2021YEAR,,,,              1670,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2021MAY ,,,,              1659,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2021JUN ,,,,              1899,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2021JAN ,,,,              1453,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2021FEB ,,,,              1415,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2021APR ,,,,              1387,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2021MAR ,,,,              1740,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2020MAR ,,,,              2030,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2020FEB ,,,,              1630,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2020JAN ,,,,              1451,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2020OCT ,,,,              1834,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2020SEP ,,,,              1757,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2020JUL ,,,,              1672,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2020AUG ,,,,              1751,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2020JUN ,,,,              1529,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2020MAY ,,,,              1695,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2020APR ,,,,              1580,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2020NOV ,,,,              1516,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2020DEC ,,,,              1601,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2020YEAR,,,,              1670,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2019OCT ,,,,              1778,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2019NOV ,,,,              1744,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2019DEC ,,,,              1709,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2019FEB ,,,,              1649,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2019JAN ,,,,              1799,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2019JUL ,,,,              1985,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2019JUN ,,,,              1723,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2019AUG ,,,,              1687,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2019APR ,,,,              1438,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2019MAY ,,,,              1947,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2019MAR ,,,,              1746,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2019YEAR,,,,              1688,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2019SEP ,,,,              1687,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2018DEC ,,,,              1751,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2018YEAR,,,,              1688,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2018NOV ,,,,              1841,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2018SEP ,,,,              1669,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2018OCT ,,,,              1923,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2018MAR ,,,,              1496,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2018APR ,,,,              1229,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2018MAY ,,,,              1664,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2018JUN ,,,,              1783,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2018AUG ,,,,              1844,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2018JUL ,,,,              1854,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2018JAN ,,,,              1518,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2018FEB ,,,,              1690,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2017OCT ,,,,              1664,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2017NOV ,,,,              1751,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2017YEAR,,,,              1648,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2017DEC ,,,,              1717,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2017JAN ,,,,              1597,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2017MAR ,,,,              1371,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2017FEB ,,,,              1419,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2017APR ,,,,              1446,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2017AUG ,,,,              1822,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2017SEP ,,,,              1870,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2017JUL ,,,,              1837,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2017JUN ,,,,              1617,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2017MAY ,,,,              1669,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016YEAR,,,,              1516,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016DEC ,,,,              1689,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016FEB ,,,,              1468,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016JAN ,,,,              1482,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016AUG ,,,,              1555,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016JUL ,,,,              1535,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016JUN ,,,,              1705,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016APR ,,,,              1383,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016MAR ,,,,              1482,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016MAY ,,,,              1335,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016NOV ,,,,              1523,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016OCT ,,,,              1675,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016SEP ,,,,              1364,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015YEAR,,,,              1324,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015DEC ,,,,              1536,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015JAN ,,,,              1252,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015APR ,,,,              1327,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015MAR ,,,,              1086,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015FEB ,,,,              1185,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015AUG ,,,,              1228,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015SEP ,,,,              1413,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015OCT ,,,,              1504,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015NOV ,,,,              1207,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015JUN ,,,,              1343,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015JUL ,,,,              1519,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015MAY ,,,,              1283,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2014DEC ,,,,              1345,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2014NOV ,,,,              1365,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2014AUG ,,,,              1233,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2014SEP ,,,,              1346,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2014OCT ,,,,              1440,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2014YEAR,,,,              1279,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2014JUN ,,,,              1167,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2014JUL ,,,,              1280,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2013YEAR,,,,              1456,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2012YEAR,,,,              1433,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2011YEAR,,,,              1459,
Lithuania,440,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2010YEAR,,,,              1390,
