T25,Land,,,,,
15,Northern Africa,2010,Forest cover (thousand hectares),"36,466",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
15,Northern Africa,2010,Arable land (% of total land area),5.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
15,Northern Africa,2010,Permanent crops (% of total land area),0.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
15,Northern Africa,2010,Forest cover (% of total land area),4.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
15,Northern Africa,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),31.19,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
15,Northern Africa,2019,Land area (thousand hectares),"785,362",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
15,Northern Africa,2019,Arable land (thousand hectares),"41,469",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
15,Northern Africa,2019,Permanent crops (thousand hectares),"6,534",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
15,Northern Africa,2019,Forest cover (thousand hectares),"27,831",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
15,Northern Africa,2019,Arable land (% of total land area),5.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
15,Northern Africa,2019,Permanent crops (% of total land area),0.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
15,Northern Africa,2019,Forest cover (% of total land area),3.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
15,Northern Africa,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),41.70,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
15,Northern Africa,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),41.70,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
202,Sub-Saharan Africa,2005,Land area (thousand hectares),"2,141,654",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
202,Sub-Saharan Africa,2005,Arable land (thousand hectares),"174,297",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
202,Sub-Saharan Africa,2005,Permanent crops (thousand hectares),"25,038",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
202,Sub-Saharan Africa,2005,Forest cover (thousand hectares),"655,958",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
202,Sub-Saharan Africa,2005,Arable land (% of total land area),8.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
202,Sub-Saharan Africa,2005,Permanent crops (% of total land area),1.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
202,Sub-Saharan Africa,2005,Forest cover (% of total land area),30.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
202,Sub-Saharan Africa,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),34.16,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
202,Sub-Saharan Africa,2010,Land area (thousand hectares),"2,141,730",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
202,Sub-Saharan Africa,2010,Arable land (thousand hectares),"182,419",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
202,Sub-Saharan Africa,2010,Permanent crops (thousand hectares),"27,161",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
202,Sub-Saharan Africa,2010,Forest cover (thousand hectares),"639,549",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
202,Sub-Saharan Africa,2010,Arable land (% of total land area),8.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
202,Sub-Saharan Africa,2010,Permanent crops (% of total land area),1.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
202,Sub-Saharan Africa,2010,Forest cover (% of total land area),29.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
202,Sub-Saharan Africa,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),39.83,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
202,Sub-Saharan Africa,2019,Land area (thousand hectares),"2,204,948",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
202,Sub-Saharan Africa,2019,Arable land (thousand hectares),"197,000",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
202,Sub-Saharan Africa,2019,Permanent crops (thousand hectares),"28,250",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
202,Sub-Saharan Africa,2019,Forest cover (thousand hectares),"612,778",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
202,Sub-Saharan Africa,2019,Arable land (% of total land area),8.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
202,Sub-Saharan Africa,2019,Permanent crops (% of total land area),1.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
202,Sub-Saharan Africa,2019,Forest cover (% of total land area),27.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
202,Sub-Saharan Africa,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),42.55,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
202,Sub-Saharan Africa,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),43.55,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
14,Eastern Africa,2005,Land area (thousand hectares),"620,499",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
14,Eastern Africa,2005,Arable land (thousand hectares),"55,770",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
14,Eastern Africa,2005,Permanent crops (thousand hectares),"6,913",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
14,Eastern Africa,2005,Forest cover (thousand hectares),"206,408",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
14,Eastern Africa,2005,Arable land (% of total land area),9.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
14,Eastern Africa,2005,Permanent crops (% of total land area),1.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
14,Eastern Africa,2005,Forest cover (% of total land area),33.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
14,Eastern Africa,2010,Land area (thousand hectares),"620,575",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
14,Eastern Africa,2010,Arable land (thousand hectares),"62,228",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
14,Eastern Africa,2010,Permanent crops (thousand hectares),"7,604",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
14,Eastern Africa,2010,Forest cover (thousand hectares),"201,429",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
14,Eastern Africa,2010,Arable land (% of total land area),10.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
14,Eastern Africa,2010,Permanent crops (% of total land area),1.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
14,Eastern Africa,2010,Forest cover (% of total land area),32.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
14,Eastern Africa,2019,Land area (thousand hectares),"683,793",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
14,Eastern Africa,2019,Arable land (thousand hectares),"66,773",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
14,Eastern Africa,2019,Permanent crops (thousand hectares),"8,520",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
14,Eastern Africa,2019,Forest cover (thousand hectares),"198,582",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
14,Eastern Africa,2019,Arable land (% of total land area),9.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
14,Eastern Africa,2019,Permanent crops (% of total land area),1.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
14,Eastern Africa,2019,Forest cover (% of total land area),29.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
17,Middle Africa,2005,Land area (thousand hectares),"649,682",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
17,Middle Africa,2005,Arable land (thousand hectares),"22,745",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
17,Middle Africa,2005,Permanent crops (thousand hectares),"2,762",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
17,Middle Africa,2005,Forest cover (thousand hectares),"313,853",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
17,Middle Africa,2005,Arable land (% of total land area),3.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
17,Middle Africa,2005,Permanent crops (% of total land area),0.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
17,Middle Africa,2005,Forest cover (% of total land area),48.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
17,Middle Africa,2010,Land area (thousand hectares),"649,682",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
17,Middle Africa,2010,Arable land (thousand hectares),"24,061",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
17,Middle Africa,2010,Permanent crops (thousand hectares),"3,250",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
17,Middle Africa,2010,Forest cover (thousand hectares),"306,675",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
17,Middle Africa,2010,Arable land (% of total land area),3.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
17,Middle Africa,2010,Permanent crops (% of total land area),0.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
17,Middle Africa,2010,Forest cover (% of total land area),47.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
17,Middle Africa,2019,Land area (thousand hectares),"649,682",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
17,Middle Africa,2019,Arable land (thousand hectares),"30,899",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
17,Middle Africa,2019,Permanent crops (thousand hectares),"3,830",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
17,Middle Africa,2019,Forest cover (thousand hectares),"289,583",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
17,Middle Africa,2019,Arable land (% of total land area),4.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
17,Middle Africa,2019,Permanent crops (% of total land area),0.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
17,Middle Africa,2019,Forest cover (% of total land area),44.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
18,Southern Africa,2005,Land area (thousand hectares),"265,067",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
18,Southern Africa,2005,Arable land (thousand hectares),"14,730",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
18,Southern Africa,2005,Permanent crops (thousand hectares),406,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
18,Southern Africa,2005,Forest cover (thousand hectares),"42,843",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
18,Southern Africa,2005,Arable land (% of total land area),5.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
18,Southern Africa,2005,Permanent crops (% of total land area),0.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
18,Southern Africa,2005,Forest cover (% of total land area),16.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
18,Southern Africa,2010,Land area (thousand hectares),"265,067",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
18,Southern Africa,2010,Arable land (thousand hectares),"14,089",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
18,Southern Africa,2010,Permanent crops (thousand hectares),460,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
18,Southern Africa,2010,Forest cover (thousand hectares),"41,721",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
18,Southern Africa,2010,Arable land (% of total land area),5.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
18,Southern Africa,2010,Permanent crops (% of total land area),0.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
18,Southern Africa,2010,Forest cover (% of total land area),15.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
18,Southern Africa,2019,Land area (thousand hectares),"265,067",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
18,Southern Africa,2019,Arable land (thousand hectares),"13,373",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
18,Southern Africa,2019,Permanent crops (thousand hectares),444,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
18,Southern Africa,2019,Forest cover (thousand hectares),"39,700",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
18,Southern Africa,2019,Arable land (% of total land area),5.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
18,Southern Africa,2019,Permanent crops (% of total land area),0.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
18,Southern Africa,2019,Forest cover (% of total land area),15.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
11,Western Africa,2005,Land area (thousand hectares),"606,406",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
11,Western Africa,2005,Arable land (thousand hectares),"81,052",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
11,Western Africa,2005,Permanent crops (thousand hectares),"14,957",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
11,Western Africa,2005,Forest cover (thousand hectares),"92,854",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
11,Western Africa,2005,Arable land (% of total land area),13.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
11,Western Africa,2005,Permanent crops (% of total land area),2.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
11,Western Africa,2005,Forest cover (% of total land area),15.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
11,Western Africa,2010,Land area (thousand hectares),"606,406",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
11,Western Africa,2010,Arable land (thousand hectares),"82,040",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
11,Western Africa,2010,Permanent crops (thousand hectares),"15,847",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
11,Western Africa,2010,Forest cover (thousand hectares),"89,725",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
11,Western Africa,2010,Arable land (% of total land area),13.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
11,Western Africa,2010,Permanent crops (% of total land area),2.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
11,Western Africa,2010,Forest cover (% of total land area),14.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
